nct_id,first_submitted_date,first_posted_date,results_first_posted_date,last_update_posted_date,actual_study_start_date,anticipated_study_start_date,actual_primary_completion_date,anticipated_primary_completion_date,large_doc_date,extraction_date
NCT01029717,"December 9, 2009",,,,,,,,,Mon Jul 27 11:39:33 2020
NCT00285662,"February 1, 2006",,,,,,May 2010,,,Mon Jul 27 11:39:34 2020
NCT00003728,"November 1, 1999",,,,,,,,,Mon Jul 27 11:39:34 2020
NCT00121108,"July 13, 2005",,,,,,March 2011,,,Mon Jul 27 11:39:35 2020
NCT00411541,"December 13, 2006",,,,,,,,,Mon Jul 27 11:39:36 2020
NCT02760420,"May 1, 2016",,,"September 19, 2019",June 2016,,,March 2020,,Mon Jul 27 11:39:36 2020
NCT00958932,"August 13, 2009",,,,,,,May 2012,,Mon Jul 27 11:39:37 2020
NCT00163449,"September 12, 2005",,,,,,May 2007,,,Mon Jul 27 11:39:38 2020
NCT00255385,"November 16, 2005",,,,,,,,,Mon Jul 27 11:39:38 2020
NCT00854932,"March 2, 2009",,,,,,,August 2016,,Mon Jul 27 11:39:41 2020
NCT00179777,"September 10, 2005",,,"July 14, 2017",March 2002,,,September 2017,,Mon Jul 27 11:39:42 2020
NCT00415402,"December 21, 2006",,,,,,July 2010,,,Mon Jul 27 11:39:42 2020
NCT00529620,"September 13, 2007",,,,,,December 2007,,,Mon Jul 27 11:39:43 2020
NCT00118794,"July 1, 2005",,,,,,,,,Mon Jul 27 11:39:44 2020
NCT00002744,"November 1, 1999",,,"February 10, 2017",,,March 2007,,,Mon Jul 27 11:39:44 2020
NCT00272142,"January 3, 2006",,,,,,August 2007,,,Mon Jul 27 11:39:45 2020
NCT01000298,"October 22, 2009",,,,,,May 2011,,,Mon Jul 27 11:39:46 2020
NCT00738946,"August 20, 2008",,,,,,December 2009,,,Mon Jul 27 11:39:46 2020
NCT00393679,"October 27, 2006",,,,,,December 2009,,,Mon Jul 27 11:39:47 2020
NCT02372461,"November 4, 2014",,,"September 16, 2019","November 9, 2014",,November 2017,,,Mon Jul 27 11:39:48 2020
NCT02028676,"December 31, 2013",,"January 15, 2014",,,,June 2012,,,Mon Jul 27 11:39:48 2020
NCT02478398,"June 22, 2015",,"June 19, 2019","September 6, 2019","July 20, 2015",,"November 19, 2018",,"June 28, 2018; November 30, 2018",Mon Jul 27 11:39:49 2020
NCT02757508,"April 20, 2016",,,"February 13, 2018","March 1, 2016",,"July 30, 2017",,,Mon Jul 27 11:39:50 2020
NCT00223600,"September 13, 2005",,,,,,,,,Mon Jul 27 11:39:51 2020
NCT02019160,"December 11, 2013",,,"September 26, 2019",,,June 2018,,,Mon Jul 27 11:39:51 2020
NCT00384189,"October 4, 2006",,"July 6, 2016",,,,August 2008,,,Mon Jul 27 11:39:52 2020
NCT00124709,"July 26, 2005",,"December 8, 2010",,,,November 2008,,,Mon Jul 27 11:39:53 2020
NCT01386840,"June 25, 2011",,,,,,April 2011,,,Mon Jul 27 11:39:53 2020
NCT00360204,"August 3, 2006",,,"July 28, 2017",,,February 2010,,,Mon Jul 27 11:39:54 2020
NCT00610922,"January 28, 2008",,,,,,December 2006,,,Mon Jul 27 11:39:55 2020
NCT00461032,"April 13, 2007",,"January 12, 2010","March 3, 2017",,,November 2006,,,Mon Jul 27 11:39:55 2020
NCT00131716,"August 18, 2005",,,,,,,,,Mon Jul 27 11:39:56 2020
NCT00637169,"March 6, 2008",,,"March 22, 2018",,,December 2012,,,Mon Jul 27 11:39:57 2020
NCT00009646,"February 1, 2001",,,,,,March 2001,,,Mon Jul 27 11:39:57 2020
NCT00233324,"October 3, 2005",,"November 16, 2014","April 18, 2019",,,August 2016,,,Mon Jul 27 11:39:58 2020
NCT01142505,"June 10, 2010",,,,,,February 2014,,,Mon Jul 27 11:39:59 2020
NCT01001234,"October 23, 2009",,"April 10, 2012","June 9, 2017","November 30, 2009",,"April 21, 2011",,,Mon Jul 27 11:39:59 2020
NCT01536275,"February 16, 2012",,,"January 30, 2019",,,,December 2023,,Mon Jul 27 11:40:00 2020
NCT01977547,"August 9, 2013",,,"March 26, 2019",,,December 2018,,,Mon Jul 27 11:40:01 2020
NCT01211145,"September 28, 2010",,"October 21, 2014",,,,October 2013,,,Mon Jul 27 11:40:02 2020
NCT01350063,"May 4, 2011",,,,,,May 2012,,,Mon Jul 27 11:40:02 2020
NCT00114543,"June 15, 2005",,,"March 22, 2019",,,November 2007,,,Mon Jul 27 11:40:03 2020
NCT01497236,"December 20, 2011",,,,,,October 2012,,,Mon Jul 27 11:40:04 2020
NCT01154803,"June 30, 2010",,,,,,February 2013,,,Mon Jul 27 11:40:05 2020
NCT01790048,"February 8, 2013",,"July 31, 2018","January 17, 2019",February 2013,,March 2015,,,Mon Jul 27 11:40:05 2020
NCT00613717,"February 11, 2008",,,,,,June 2014,,,Mon Jul 27 11:40:06 2020
NCT00197730,"September 12, 2005",,,,,,May 2008,,,Mon Jul 27 11:40:07 2020
NCT00421668,"January 11, 2007",,,"March 3, 2017",,,October 2012,,,Mon Jul 27 11:40:07 2020
NCT01613547,"May 26, 2012",,,,,,May 2014,,,Mon Jul 27 11:40:08 2020
NCT00120523,"July 11, 2005",,"November 9, 2012",,,,October 2010,,,Mon Jul 27 11:40:09 2020
NCT00158574,"September 8, 2005",,,,,,June 2008,,,Mon Jul 27 11:40:09 2020
NCT00272116,"January 2, 2006",,,,,,September 2000,,,Mon Jul 27 11:40:10 2020
NCT00844337,"February 13, 2009",,,,,,September 2013,,,Mon Jul 27 11:40:11 2020
NCT00148733,"September 6, 2005",,"February 2, 2015","August 14, 2018",,,January 2008,,,Mon Jul 27 11:40:11 2020
NCT00998517,"October 19, 2009",,"August 15, 2012",,,,February 2011,,,Mon Jul 27 11:40:12 2020
NCT01588210,"April 26, 2012",,,,,,June 2010,,,Mon Jul 27 11:40:13 2020
NCT00307333,"March 24, 2006",,"April 3, 2012",,,,May 2011,,,Mon Jul 27 11:40:13 2020
NCT00005945,"July 5, 2000",,,,,,June 2008,,,Mon Jul 27 11:40:14 2020
NCT02225769,"August 22, 2014",,,,,,February 2016,,,Mon Jul 27 11:40:15 2020
NCT02653534,"December 26, 2015",,,"December 7, 2018",November 2015,,October 2018,,,Mon Jul 27 11:40:16 2020
NCT01138449,"June 4, 2010",,,,,,June 2013,,,Mon Jul 27 11:40:16 2020
NCT00941785,"June 18, 2009",,,,,,December 2009,,,Mon Jul 27 11:40:17 2020
NCT00548379,"October 23, 2007",,,,,,,July 2009,,Mon Jul 27 11:40:18 2020
NCT00934492,"July 7, 2009",,,,,,April 2014,,,Mon Jul 27 11:40:19 2020
NCT00433212,"February 7, 2007",,,,,,December 2011,,,Mon Jul 27 11:40:19 2020
NCT01462344,"October 27, 2011",,"May 2, 2016","August 6, 2018",,,"November 3, 2015",,,Mon Jul 27 11:40:20 2020
NCT02428647,"February 9, 2015",,,"February 26, 2020",,,July 2017,,,Mon Jul 27 11:40:21 2020
NCT00113191,"June 6, 2005",,,,,,June 2006,,,Mon Jul 27 11:40:22 2020
NCT00344006,"June 22, 2006",,,,,,August 2007,,,Mon Jul 27 11:40:24 2020
